,id,first_name,last_name,points
0,70,Jaylen,Brown,35
1,434,Jayson,Tatum,35
2,219,Al,Horford,6
3,473,Derrick,White,2
4,420,Marcus,Smart,14
5,459,Noah,Vonleh,2
6,666965,Grant,Williams,15
7,65,Malcolm,Brogdon,16
8,189,Blake,Griffin,1
9,17896060,Sam,Hauser,0
10,38017707,JD,Davison,0
11,235,Justin,Jackson,0
12,666692,Mfiondu,Kabengele,0
13,261,Luke,Kornet,0
14,3547276,Payton,Pritchard,0
15,167,Danilo,Gallinari,0
16,476,Robert,Williams III,0
17,200,Tobias,Harris,18
18,450,PJ,Tucker,6
19,145,Joel,Embiid,26
20,3547254,Tyrese,Maxey,21
21,192,James,Harden,35
22,194,Montrezl,Harrell,2
23,313,De'Anthony,Melton,5
24,2175,Danuel,House Jr.,1
25,344,Georges,Niang,3
26,666923,Matisse,Thybulle,0
27,260,Furkan,Korkmaz,0
28,320,Shake,Milton,0
29,3547270,Paul,Reed,0
30,17896025,Jaden,Springer,0
31,38017649,Julian,Champagnie,0
32,38017678,Michael,Foster Jr.,0
33,475,Andrew,Wiggins,20
34,185,Draymond,Green,4
35,282,Kevon,Looney,7
36,443,Klay,Thompson,18
37,115,Stephen,Curry,33
38,666848,Jordan,Poole,12
39,187,JaMychal,Green,8
40,3547240,James,Wiseman,8
41,17553979,Jonathan,Kuminga,0
42,131,Donte,DiVincenzo,8
43,17553992,Moses,Moody,5
44,38017712,Ryan,Rollins,0
45,38017704,Patrick,Baldwin Jr.,0
46,224,Andre,Iguodala,0
47,666676,Ty,Jerome,0
48,7155648,Anthony,Lamb,0
49,464,Lonnie,Walker IV,5
50,237,LeBron,James,31
51,117,Anthony,Davis,27
52,472,Russell,Westbrook,19
53,45,Patrick,Beverley,3
54,17553995,Austin,Reaves,3
55,50927,Kendrick,Nunn,13
56,666925,Juan,Toscano-Anderson,0
57,166,Wenyen,Gabriel,0
58,17896017,Matt,Ryan,3
59,38017697,Max,Christie,3
60,38017656,Scotty,Pippen Jr.,2
61,38017736,Cole,Swider,0
62,248,Damian,Jones,0
63,68,Troy,Brown Jr.,0
64,74,Thomas,Bryant,0
65,409,Dennis,Schroder,0
